num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,analytical_lift_enabled,failure_pruning_enabled,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,outer_candidates_considered,outer_candidates_pruned,outer_ocp_attempts,uncrossable_failure
4,1,1,1,10000,1,1,1,0,1,277,43,1,0,0,1,1,1.21989e-08,4,0.312225,0.000736795,1.192,3.704,19.6315,1,3,204.923,92.7011,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,44,1,0,0,1,1,7.11572e-05,4,0.31964,0.000730358,1.182,5.512,14.1646,1,1,140.449,82.7692,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,45,1,0,0,1,1,6.76953e-07,4,0.310411,0.000738979,1.156,5.084,13.6417,1,1,139.473,80.0328,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,46,0,0,0,1,0,nan,4,0.334017,0.000762918,1.167,0,8.75496,1,0,35.5029,62.6047,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,47,1,0,0,1,1,2.1666e-06,4,0.311385,0.000722839,1.186,4.41667,21.9433,1,3,148.82,87.015,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,48,1,0,0,1,1,6.8072e-08,4,0.308321,0.000716331,1.147,4.87275,28.5123,1,4,186.473,89.5061,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,49,0,0,0,1,0,nan,4,0.321924,0.000731474,1.146,0,9.05122,1,0,35.5029,62.5993,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,50,1,0,0,1,1,6.41845e-05,4,0.31078,0.00074957,1.178,5.422,20.0003,1,2,201.167,90.4008,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,51,1,0,0,1,1,8.36323e-05,4,0.311044,0.00070736,1.162,5.45833,25.7493,1,3,181.508,92.0624,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,52,1,0,0,1,1,6.98013e-05,4,0.305702,0.000700549,1.135,7.123,24.1278,1,2,203.275,91.1395,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,53,0,0,0,1,0,2.52499e+11,4,0.349417,0.000763309,1.341,0,16.3654,1,0,35.5574,1572.44,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,54,0,0,0,1,0,nan,4,0.309308,0.000687303,1.223,0,9.90758,1,0,35.5029,62.6021,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,55,1,0,0,1,1,7.07821e-05,4,0.312735,0.000921783,1.202,5.44,15.3738,1,1,139.299,82.6445,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,56,0,0,0,1,0,nan,4,0.30554,0.000687224,1.159,0,10.0366,1,0,35.5029,62.6048,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,57,1,0,0,1,1,6.4096e-05,4,0.308382,0.000698304,1.166,5.4125,21.071,1,2,212.436,91.9102,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,58,0,0,0,1,0,2.52348e+11,4,0.306575,0.000698053,1.166,0,15.7846,1,0,35.5508,1568.33,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,59,0,0,0,1,0,nan,4,0.312204,0.000696612,1.176,0,10.4278,1,0,35.5029,62.6028,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,60,0,0,0,1,0,nan,4,0.313783,0.000739131,1.151,0,10.5709,1,0,35.5029,62.6018,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,61,1,0,0,1,1,3.14955e-05,4,0.303521,0.000685713,1.167,5.06887,51.4791,1,8,150.499,90.2099,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,62,1,0,0,1,1,3.32454e-06,4,0.297361,0.000985124,1.145,5.405,16.2073,1,1,137.837,82.2583,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,63,1,0,0,1,1,3.36348e-05,4,0.305518,0.000720823,1.152,4.9462,35.9104,1,5,139.945,82.8019,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,64,1,0,0,1,1,8.72664e-06,4,0.310928,0.00068888,1.169,5.39,16.6387,1,1,137.982,82.1902,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,65,1,0,0,1,1,2.60506e-06,4,0.305016,0.000838993,1.168,5.141,16.4072,1,1,137.83,78.7239,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,66,0,0,0,1,0,nan,4,0.306378,0.000709745,1.162,0,11.8948,1,0,35.5029,62.6049,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,67,1,0,0,1,1,5.0356e-06,4,0.338442,0.000815526,1.222,5.83533,47.902,1,6,147.467,86.3341,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,68,1,0,0,1,1,6.78359e-05,4,0.339465,0.000777197,1.227,5.753,24.1034,1,2,139.195,86.4433,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,69,1,0,0,1,1,5.49993e-06,4,0.319983,0.00070348,1.262,5.738,18.5272,1,1,147.456,84.4959,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,70,1,0,0,1,1,6.05903e-05,4,0.333681,0.00076148,1.243,5.78533,29.9673,1,3,166.553,88.3445,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,71,1,0,0,1,1,6.71604e-05,4,0.318067,0.000730391,1.271,5.905,24.7512,1,2,139.197,86.6619,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,72,0,0,0,1,0,nan,4,0.321514,0.000693352,1.259,0,12.2471,1,0,35.5029,62.6039,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,73,0,0,0,1,0,2.52278e+11,4,0.321724,0.000719176,1.212,0,19.2051,1,0,35.5586,1564.22,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,74,0,0,0,1,0,nan,4,0.328806,0.00072784,1.208,0,12.9002,1,0,35.5029,62.6022,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,75,0,0,0,1,0,nan,4,0.320591,0.000743941,1.216,0,13.2421,1,0,35.5029,62.6035,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,76,1,0,0,1,1,7.5262e-05,4,0.292244,0.000662752,1.18,5.74669,88.4308,1,13,224.626,100.872,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,77,1,0,0,1,1,6.6669e-08,4,0.318559,0.000706994,1.221,5.38075,35.3275,1,4,184.506,91.1656,1,0,1,0
4,1,1,1,10000,1,1,1,0,1,277,78,1,0,0,1,1,3.12295e-05,4,0.32311,0.000733584,1.243,5.8834,44.0028,1,5,140.194,82.6529,1,0,1,0
