num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,config_timed_out
4,1,1,1,10000,1,1,2,8042,1,0,0,0,1,0,nan,4,0.946581,0.0375309,2.238,0,64.5855,1,0,34.3057,62.6093,0
4,1,1,1,10000,1,1,2,8042,2,0,0,0,1,0,nan,4,1.11672,0.0392469,1.923,0,71.3459,1,0,34.3057,62.6076,0
4,1,1,1,10000,1,1,2,8042,3,0,0,0,1,0,nan,4,0.995786,0.036917,1.84,0,118.33,1,0,34.3057,62.6069,0
4,1,1,1,10000,1,1,2,8042,4,0,0,0,1,0,nan,4,0.99489,0.0379798,1.687,0,64.9595,1,0,34.3057,62.6046,0
4,1,1,1,10000,1,1,2,8042,5,0,0,0,1,0,nan,4,0.955523,0.0411351,1.715,0,97.883,1,0,34.3057,62.6035,0
4,1,1,1,10000,1,1,2,8042,6,0,0,0,1,0,nan,4,0.992926,0.0376642,1.615,0,49.1858,1,0,34.3057,62.6067,0
4,1,1,1,10000,1,1,2,8042,7,0,0,0,1,0,nan,4,0.966618,0.038667,1.74,0,193.071,1,0,34.3057,62.6099,0
4,1,1,1,10000,1,1,2,8042,8,0,0,0,1,0,nan,4,0.987742,0.037754,1.696,0,49.1811,1,0,34.3057,62.6043,0
4,1,1,1,10000,1,1,2,8042,9,0,0,0,1,0,nan,4,-1.57009,0.0385297,1.772,0,95.2495,1,0,34.3057,62.6086,0
4,1,1,1,10000,0,1,1,9042,0,0,0,0,1,0,nan,4,1.06009,0.036162,1.618,0,63.6612,1,0,34.3057,62.6046,0
4,1,1,1,10000,0,1,1,9042,1,1,0,0,1,1,7.29635e-07,4,1.06567,0.0467929,1.831,6.898,223.617,1,2,40.4208,62.1439,0
4,1,1,1,10000,0,1,1,9042,2,1,0,0,1,1,3.81725e-07,4,0.960693,0.0371236,1.688,7.09475,85.6864,1,4,40.1584,62.7825,0
4,1,1,1,10000,0,1,1,9042,3,0,0,0,1,0,nan,4,1.03499,0.0380038,1.824,0,101.004,1,0,34.3057,62.6068,0
