num_robot,opti_t,opti_w_a,opti_w_omega,opti_w_penalty0,opti_w_formation,opti_w_topo,opti_w_sfc,analytical_lift_enabled,failure_pruning_enabled,seed,trial,trial_success,solve_success,success_strict,success_any_solution,success_feasible,final_infeasibility,n_solutions,time_topo_s,time_filter_s,time_coarse_s,time_to_s,time_total_s,outer_iters,inner_iters,tf_s,distance_m,outer_candidates_considered,outer_candidates_pruned,outer_ocp_attempts,uncrossable_failure,config_timed_out
4,1,1,1,10000,1,1,1,0,0,277,43,1,0,0,1,1,7.09757e-05,4,0.345455,0.00090498,1.335,6.181,15.3397,1,1,138.708,82.7012,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,44,1,0,0,1,1,4.27675e-06,4,0.353485,0.00081487,1.317,6.5945,21.8666,1,2,147.482,85.7484,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,45,0,0,0,1,0,2.52365e+11,4,0.334404,0.000787522,1.327,0,14.7248,1,0,35.5584,1569.84,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,46,0,0,0,1,0,nan,4,0.355618,0.000968297,1.295,0,9.1752,1,0,35.5029,62.6047,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,47,1,0,0,1,1,6.22921e-05,4,0.333084,0.000819116,1.37,6.13,21.3352,1,2,192.048,88.0036,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,48,1,0,0,1,1,3.02697e-05,4,0.33018,0.000765021,1.327,5.36525,30.5435,1,4,199.308,88.9965,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,49,1,0,0,1,1,2.46987e-06,4,0.328632,0.000746335,1.346,6.176,15.8155,1,1,137.789,78.8996,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,50,1,1,1,1,1,6.38738e-05,4,0.323479,0.000816303,1.335,5.94607,97.5483,1,15,137.835,82.3268,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,51,1,0,0,1,1,6.70605e-05,4,0.316986,0.000726854,1.347,5.9304,39.5674,1,5,137.833,82.2372,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,52,1,0,0,1,1,6.99753e-05,4,0.331217,0.000745522,1.344,6.066,21.6921,1,2,201.692,90.7692,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,53,0,0,0,1,0,2.52499e+11,4,0.331011,0.000767851,1.339,0,15.8479,1,0,35.5574,1572.44,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,54,1,0,0,1,1,6.13452e-05,4,0.345386,0.000810423,1.379,6.131,28.5062,1,3,149.887,86.4664,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,55,1,0,0,1,1,7.07821e-05,4,0.33597,0.000809364,1.327,6.011,16.5839,1,1,139.299,82.6445,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,56,0,0,0,1,0,2.52433e+11,4,0.347491,0.000803189,1.353,0,16.3461,1,0,35.5515,1578.25,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,57,1,0,0,1,1,7.50907e-05,4,0.325856,0.000806431,1.408,6.19933,29.1063,1,3,198.025,93.4559,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,58,1,0,0,1,1,6.40993e-05,4,0.360455,0.000837051,1.352,6.34975,36.179,1,4,191.22,92.8991,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,59,1,0,0,1,1,6.23705e-05,4,0.336148,0.000855225,1.335,6.08337,59.06,1,8,167.346,91.2345,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,60,1,0,0,1,1,3.28904e-06,4,0.334138,0.000768663,1.39,6.146,17.57,1,1,137.834,82.2728,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,61,1,0,0,1,1,9.27207e-05,4,0.337852,0.000775913,1.452,6.388,23.9611,1,2,142.68,86.1175,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,62,0,0,0,1,0,nan,4,0.332439,0.000767343,1.399,0,12.5836,1,0,35.5029,62.6005,1,0,1,0,0
4,1,1,1,10000,1,1,1,0,0,277,63,1,0,0,1,1,7.15235e-05,4,0.343565,0.00108232,1.46,6.14475,36.4213,1,4,197.534,92.1092,1,0,1,0,0
